event_type,ts,src_ip,src_port,dest_ip,dest_port,vlan,proto,app_proto,alert.severity,alert.signature,alert.category,alert.action,alert.signature_id,alert.gid,alert.rev,alert.metadata.signature_severity,alert.metadata.former_category,alert.metadata.attack_target,alert.metadata.deployment,alert.metadata.affected_product,alert.metadata.created_at,alert.metadata.performance_impact,alert.metadata.updated_at,alert.metadata.malware_family,alert.metadata.tag,alert.metadata.confidence,alert.metadata.reviewed_at,alert.metadata.mitre_tactic_id,alert.metadata.mitre_tactic_name,alert.metadata.mitre_technique_id,alert.metadata.mitre_technique_name,flow_id,pcap_cnt,tx_id,icmp_code,icmp_type,tunnel.src_ip,tunnel.src_port,tunnel.dest_ip,tunnel.dest_port,tunnel.proto,tunnel.depth,community_id
alert,2021-09-24T16:43:44.854427Z,10.9.23.5,88,10.9.23.102,49674,,TCP,krb5,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,4.21E+14,82,,,,,,,,,,1:67tCCAKxE41R/mowFjhlXmTzO0k=
alert,2021-09-24T16:43:45.109369Z,10.9.23.5,88,10.9.23.102,49680,,TCP,krb5,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,4.05E+14,188,,,,,,,,,,1:gBEBOkEzfQnI32WAP3hznR2jHiQ=
alert,2021-09-24T16:43:45.306916Z,10.9.23.5,88,10.9.23.102,49685,,TCP,krb5,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,6.29E+14,260,,,,,,,,,,1:2C5zFFuj3yOrlGMau2OpSaHz66w=
alert,2021-09-24T16:43:53.513276Z,10.9.23.5,88,10.9.23.102,49704,,TCP,krb5,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,9.42E+14,717,,,,,,,,,,1:NRvo2yYvgBI8mug21rTKV/CzlK4=
alert,2021-09-24T16:44:19.341801Z,10.9.23.5,88,10.9.23.102,49708,,TCP,krb5,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,1.46E+15,796,,,,,,,,,,1:Yqjw9C+HSHk4kNMLA2OgDvCULuc=
alert,2021-09-24T16:44:19.533724Z,10.9.23.5,88,10.9.23.102,49714,,TCP,krb5,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,3.93E+14,869,,,,,,,,,,1:qCekaJHoFRxjdmkDku+yvplAFs4=
alert,2021-09-24T16:46:17.150137Z,10.9.23.102,63385,208.91.128.6,80,,TCP,http,1,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,allowed,2033939,1,6,"[""Major""]",,,,,"[""2021_09_13""]",,"[""2021_10_04""]","[""SQUIRRELWAFFLE""]","[""Description_Generated_By_Proofpoint_Nexus""]","[""High""]",,,,,,8.41E+14,3853,0,,,,,,,,,1:zrPbwHLQDMP2e75lL3DGjO1WtVk=
alert,2021-09-24T16:46:42.285321Z,10.9.23.102,63386,208.91.128.6,80,,TCP,http,1,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,allowed,2033939,1,6,"[""Major""]",,,,,"[""2021_09_13""]",,"[""2021_10_04""]","[""SQUIRRELWAFFLE""]","[""Description_Generated_By_Proofpoint_Nexus""]","[""High""]",,,,,,1.26E+15,3913,0,,,,,,,,,1:o9R/mkwEP1lWipucbYMJ89mv5mE=
alert,2021-09-24T16:47:06.571522Z,10.9.23.102,63389,208.91.128.6,80,,TCP,http,1,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,allowed,2033939,1,6,"[""Major""]",,,,,"[""2021_09_13""]",,"[""2021_10_04""]","[""SQUIRRELWAFFLE""]","[""Description_Generated_By_Proofpoint_Nexus""]","[""High""]",,,,,,9.87E+14,3998,0,,,,,,,,,1:Md2xBctPKIahh44LpNP3N5f7tIw=
alert,2021-09-24T16:47:31.584752Z,10.9.23.102,63390,208.91.128.6,80,,TCP,http,1,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,allowed,2033939,1,6,"[""Major""]",,,,,"[""2021_09_13""]",,"[""2021_10_04""]","[""SQUIRRELWAFFLE""]","[""Description_Generated_By_Proofpoint_Nexus""]","[""High""]",,,,,,1.49E+14,4008,0,,,,,,,,,1:hPXLZgJnaJMEesfQ4Y9Mg+69xrA=
alert,2021-09-24T16:47:57.524116Z,10.9.23.102,63391,208.91.128.6,80,,TCP,http,1,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,allowed,2033939,1,6,"[""Major""]",,,,,"[""2021_09_13""]",,"[""2021_10_04""]","[""SQUIRRELWAFFLE""]","[""Description_Generated_By_Proofpoint_Nexus""]","[""High""]",,,,,,1.57E+15,4023,0,,,,,,,,,1:6CSsFO8tHb/AC0aZrIPheA8Kk7c=
alert,2021-09-24T16:48:21.806194Z,10.9.23.102,63392,208.91.128.6,80,,TCP,http,1,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,allowed,2033939,1,6,"[""Major""]",,,,,"[""2021_09_13""]",,"[""2021_10_04""]","[""SQUIRRELWAFFLE""]","[""Description_Generated_By_Proofpoint_Nexus""]","[""High""]",,,,,,1.08E+15,4029,0,,,,,,,,,1:s/eHiiMvoiJ+HglPp2NSWng/n8I=
alert,2021-09-24T16:48:46.850694Z,10.9.23.102,63393,208.91.128.6,80,,TCP,http,1,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,allowed,2033939,1,6,"[""Major""]",,,,,"[""2021_09_13""]",,"[""2021_10_04""]","[""SQUIRRELWAFFLE""]","[""Description_Generated_By_Proofpoint_Nexus""]","[""High""]",,,,,,2.15E+15,4039,0,,,,,,,,,1:ZJ6MZRmWLF6CqaAbcksTTITVXeo=
alert,2021-09-24T16:49:11.959879Z,10.9.23.102,63394,208.91.128.6,80,,TCP,http,1,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,allowed,2033939,1,6,"[""Major""]",,,,,"[""2021_09_13""]",,"[""2021_10_04""]","[""SQUIRRELWAFFLE""]","[""Description_Generated_By_Proofpoint_Nexus""]","[""High""]",,,,,,6.34E+14,4048,0,,,,,,,,,1:T2wZXKB3g4GH+EPJyIjnqaWZPb4=
alert,2021-09-24T16:49:37.041649Z,10.9.23.102,63396,208.91.128.6,80,,TCP,http,1,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,allowed,2033939,1,6,"[""Major""]",,,,,"[""2021_09_13""]",,"[""2021_10_04""]","[""SQUIRRELWAFFLE""]","[""Description_Generated_By_Proofpoint_Nexus""]","[""High""]",,,,,,1.22E+15,4092,0,,,,,,,,,1:ga0ppWnKgVpRIHSx7TIpvpRNn04=
alert,2021-09-24T16:50:02.211229Z,10.9.23.102,63397,208.91.128.6,80,,TCP,http,1,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,allowed,2033939,1,6,"[""Major""]",,,,,"[""2021_09_13""]",,"[""2021_10_04""]","[""SQUIRRELWAFFLE""]","[""Description_Generated_By_Proofpoint_Nexus""]","[""High""]",,,,,,2.15E+15,4101,0,,,,,,,,,1:ZSW4Ex4tbr7/tKkq3cgBlR8L4nU=
alert,2021-09-24T16:50:27.299103Z,10.9.23.102,63398,208.91.128.6,80,,TCP,http,1,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,allowed,2033939,1,6,"[""Major""]",,,,,"[""2021_09_13""]",,"[""2021_10_04""]","[""SQUIRRELWAFFLE""]","[""Description_Generated_By_Proofpoint_Nexus""]","[""High""]",,,,,,2.04E+15,4111,0,,,,,,,,,1:/fGOPJul4AJskDpIlCwEB/fqGcA=
alert,2021-09-24T16:50:52.286349Z,10.9.23.102,63399,208.91.128.6,80,,TCP,http,1,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,allowed,2033939,1,6,"[""Major""]",,,,,"[""2021_09_13""]",,"[""2021_10_04""]","[""SQUIRRELWAFFLE""]","[""Description_Generated_By_Proofpoint_Nexus""]","[""High""]",,,,,,1.23E+15,4120,0,,,,,,,,,1:FW+BuExMcPyoW3l5EVZ/zfm50sM=
alert,2021-09-24T16:51:17.468281Z,10.9.23.102,63400,208.91.128.6,80,,TCP,http,1,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,allowed,2033939,1,6,"[""Major""]",,,,,"[""2021_09_13""]",,"[""2021_10_04""]","[""SQUIRRELWAFFLE""]","[""Description_Generated_By_Proofpoint_Nexus""]","[""High""]",,,,,,1.32E+15,4133,0,,,,,,,,,1:dtXLI3Ip4I2IXpnAXNxmALeG9oI=
alert,2021-09-24T16:51:42.636817Z,10.9.23.102,63401,208.91.128.6,80,,TCP,http,1,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,allowed,2033939,1,6,"[""Major""]",,,,,"[""2021_09_13""]",,"[""2021_10_04""]","[""SQUIRRELWAFFLE""]","[""Description_Generated_By_Proofpoint_Nexus""]","[""High""]",,,,,,4.24E+14,4142,0,,,,,,,,,1:s9S8lSfoWQJlXNbPHIhTXNPLDDU=
alert,2021-09-24T16:52:07.752092Z,10.9.23.102,63402,208.91.128.6,80,,TCP,http,1,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,allowed,2033939,1,6,"[""Major""]",,,,,"[""2021_09_13""]",,"[""2021_10_04""]","[""SQUIRRELWAFFLE""]","[""Description_Generated_By_Proofpoint_Nexus""]","[""High""]",,,,,,9.55E+14,4152,0,,,,,,,,,1:LE9UCjFwagR2CB6d/+etmWnu+Ac=
alert,2021-09-24T16:52:32.849848Z,10.9.23.102,63404,208.91.128.6,80,,TCP,http,1,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,allowed,2033939,1,6,"[""Major""]",,,,,"[""2021_09_13""]",,"[""2021_10_04""]","[""SQUIRRELWAFFLE""]","[""Description_Generated_By_Proofpoint_Nexus""]","[""High""]",,,,,,1.22E+15,4164,0,,,,,,,,,1:W534xO3FmZ8u6mO7cjvHVGm/mUQ=
alert,2021-09-24T16:52:58.030661Z,10.9.23.102,63406,208.91.128.6,80,,TCP,http,1,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,allowed,2033939,1,6,"[""Major""]",,,,,"[""2021_09_13""]",,"[""2021_10_04""]","[""SQUIRRELWAFFLE""]","[""Description_Generated_By_Proofpoint_Nexus""]","[""High""]",,,,,,3.37E+14,4181,0,,,,,,,,,1:J0NSgxg2DjqeW6FaiEOLaK2Szjw=
alert,2021-09-24T16:53:23.217762Z,10.9.23.102,63409,208.91.128.6,80,,TCP,http,1,ET MALWARE SQUIRRELWAFFLE Loader Activity (POST),A Network Trojan was detected,allowed,2033939,1,6,"[""Major""]",,,,,"[""2021_09_13""]",,"[""2021_10_04""]","[""SQUIRRELWAFFLE""]","[""Description_Generated_By_Proofpoint_Nexus""]","[""High""]",,,,,,1.68E+15,4209,0,,,,,,,,,1:2MQlPA4O44j3hfBR5kfjWLxDLm4=
